name,address,type,description,image_url
"Luxx Nail Salon","620 US, U.S. 287 Frontage Rd #112, Mansfield, TX 76063","Personal Care/ Beauty","My mom, little sister, and I have been going to Luxx for about 10 years. The staff is very friendly, and you are guaranteed to leave with a beautiful set of nails that won't disappoint.",https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-6/299017213_500315788760803_5114863377256756257_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=1d70fc&_nc_ohc=9ud2V24WnoYQ7kNvwHcp7M8&_nc_oc=Adn1-S90s5oGILXs2qqsINHox2M5m8qfa-djMQCYc1TkEekjsNVXi9Nt4yYYAIk38S8&_nc_zt=23&_nc_ht=scontent-dfw5-1.xx&_nc_gid=w5t8Ea-5aTEevl4qNjZPzA&_nc_ss=8&oh=00_Afwpi9HwW3m3lIR42MHcrXeiUzOB9i5KhytwusXfn-5ToQ&oe=69ABA1BE
"Sake Hibachi Sushi & Bar","100 W Debbie Ln, Mansfield, TX 76063",Restaurant,"Sake Hibachi is a Japanese restaurant my family and I have been going to for 16 years. The food is made fresh right in front of you, with a show to go with it, and the service is always impeccable.",https://media-cdn.tripadvisor.com/media/photo-s/03/2f/81/ed/sake-hibachi-and-sushi.jpg
"Sonora Park","263 S New Hope Rd, Kennedale, TX 76060",Park,"Sonora Park is a local park in Kennedale, TX. If you visit you will find geese and ducks, a pond to fish in, and a playground to play on.",https://www.cityofkennedale.com/ImageRepository/Path?filePath=%2FDocuments%5CContent%5C139%2FKKB+2013+025.JPG
"Cinemark Mansfield and XD","2041 U.S. 287 Frontage Rd Ste 901, Mansfield, TX 76063",Entertainment,"Cinemark is the movie theater where I saw my first movie. My family and I went there several times every summer to escape the heat and enjoy a good movie.",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqpR5k319V6Wsb50QnGax1s6Jhnq2LvXClYvPeZIWBsS75TObMBdkLyiE6_0Gwa8LCW08ru92K7NpGy1buz3e8MR6wir74UV352DqI1F8GKI2dkAXSF6VQJNWtldbP4rWCfqPF1=s1360-w1360-h1020-rw
"Alley Cats Entertainment","2008 W Pleasant Ridge Rd, Arlington, TX 76015",Entertainment,"Every summer, my siblings and I utilized the Kids Bowl Free program at Alley Cats and would spend hours bowling, becoming experts over time. After we bowled we'd spend even more time playing lazer tag and in the arcade.",https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkiCDIBNCHvFSjel_mI2Fgm6Ot2yx4ZccXdNfKnS93kIJeJfPPFxCVR1MLaZfrV_uUu-_BBwhNyA-eTpY0F0pGJJh1yNmnHdHr6N0wguGq5-bVB0N_u4A9Ok27QKTRDti3WIOgMg=s1360-w1360-h1020-rw
"Dave & Buster's Arlington","425 Curtis Mathes Way, Arlington, TX 76018",Entertainment,"This was another hotspot during the summer for my family. We'd spend hours playing games, and collecting points to spend and get a grand prize one day.",https://www.gamblingnews.com/wp-content/uploads/2024/05/dave-and-buster-restaurant.jpeg
"Cafe Sicilia Arlington","7221 Matlock Rd #3409, Arlington, TX 76002",Restaurant,"Café Sicilia is a small Mom and Pop type of restaurant that makes fresh, authentic, Italian food.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfhPTPFIKd2EyivOmsRH_MHFhTe9LLWdVZiQ&s
"Blue Mint Thai & Asian Cuisine","1211 E Debbie Ln ste 115, Mansfield, TX 76063",Restaurant,"Blue Mint is a restaurant my family has gone to since before I was born, so over 20 years. It was originally a family owned business that recently franchised, but the management and food has remained fantastic!",https://lh3.googleusercontent.com/p/AF1QipNrFJDBWI79csZj9FAqPQASWQ4jm7Yzsy-W7uSc=s1360-w1360-h1020-rw
"Andy's Frozen Custard","5299 W Sublett Rd, Arlington, TX 76017",Restaurant,"Andy's is my sister's favorite ice cream place, and is now one of my favorite places too! Andy's makes frozen custard mixes kind of like a DQ Blizzard, and they are delicious!",https://us1-photo.nextdoor.com/business_gallery/2c/ff/2cff144d9dc3d4b1f00c627a4f112112.jpg
"Creative Hands","2225 W Park Row Dr, Pantego, TX 76013",Entertainment,"Creative hands is a paint-your-own pottery studio. This was one of my and my brother's favorite places to go as kids, and we'd spend hours painting pottery to take home and decorate our rooms with.",https://lh3.googleusercontent.com/p/AF1QipMmyEGWppitJsPxbody4P5GQNMdlke2mAzBOHce=s1360-w1360-h1020-rw
"Camp Thurman","3001 Sarah Dr, Pantego, TX 76013","Summer Camp","Every summer, I would spend weeks going to Camp Thurman. While there, we would hike, zipline, swim, and more.",https://www.star-telegram.com/public/opinion/letters-to-the-editor/fl442o/picture85898137/alternates/LANDSCAPE_1140/Camp%20Thurman%20update%201
